x,y,psi,kappa,v
5.2338,11.7962,-3.1226,0.0864,3.0448
5.2044,11.7956,-3.12,0.1004,2.9649
5.1765,11.7949,-3.1171,0.1174,2.8888
5.15,11.7941,-3.1139,0.1386,2.8173
5.125,11.7934,-3.1104,0.1652,2.7513
5.1015,11.7925,-3.1063,0.1991,2.6915
5.0794,11.7917,-3.1018,0.2428,2.6391
5.0588,11.7907,-3.0966,0.3003,2.5948
5.0396,11.7897,-3.0906,0.3775,2.5596
5.022,11.7887,-3.0836,0.4835,2.5338
5.0058,11.7876,-3.0754,0.633,2.517
4.991,11.7865,-3.0656,0.8508,2.508
4.9777,11.7854,-3.0536,1.1807,2.5047
4.9659,11.7841,-3.0387,1.7045,2.5046
4.9556,11.7829,-3.0196,2.5868,2.5057
4.9467,11.7815,-2.9943,4.1905,2.5141
4.9393,11.7802,-2.9594,7.4145,2.5225
4.9333,11.7788,-2.9082,14.8582,2.5239
4.9288,11.7773,-2.8264,35.7624,2.5251
4.9258,11.7758,-2.6779,87.6723,2.526
4.9242,11.7742,-2.3562,70.6137,2.5267
4.9227,11.7726,-2.3101,19.6496,2.5273
4.9212,11.7708,-2.2655,18.5544,2.5278
4.9198,11.7689,-2.2227,17.4445,2.5281
4.9185,11.767,-2.1815,16.34,2.5285
4.9171,11.7649,-2.1421,15.2571,2.5288
4.9159,11.7628,-2.1045,14.2087,2.5291
4.9146,11.7605,-2.0686,13.2043,2.5294
4.9135,11.7582,-2.0344,12.2504,2.5297
4.9124,11.7558,-2.0019,11.3511,2.53
4.9113,11.7532,-1.971,10.5083,2.5303
4.9103,11.7506,-1.9417,9.7223,2.5306
4.9093,11.7479,-1.9138,8.9924,2.5309
4.9083,11.745,-1.8874,8.3167,2.5313
4.9075,11.7421,-1.8623,7.6929,2.5316
4.9066,11.7391,-1.8384,7.118,2.5319
4.9059,11.7359,-1.8158,6.5892,2.5322
4.9051,11.7327,-1.7943,6.1032,2.5325
4.9044,11.7294,-1.7738,5.6569,2.5329
4.9038,11.726,-1.7544,5.2474,2.5332
4.9032,11.7225,-1.7359,4.8715,2.5335
4.9027,11.7188,-1.7184,4.5266,2.5339
4.9022,11.7151,-1.7016,4.2101,2.5342
4.9018,11.7113,-1.6857,3.9194,2.5346
4.9014,11.7074,-1.6705,3.6525,2.5349
4.901,11.7034,-1.656,3.4071,2.5353
4.9007,11.6993,-1.6421,3.1814,2.5356
4.9005,11.6951,-1.6289,2.9737,2.536
4.9003,11.6908,-1.6162,2.7824,2.5364
4.9001,11.6864,-1.6041,2.6061,2.5367
4.9,11.6819,-1.5925,2.4433,2.5371
4.9,11.6773,-1.5814,1.1465,2.5375
4.9,11.6727,-1.5708,1.1465,2.5366
4.9,11.6681,-1.5814,2.4433,2.5358
