x,y,psi,kappa,v
3.8373,1.0541,-1.7343,0.0869,5.5492
3.8358,1.0447,-1.7351,0.0882,5.5267
3.8342,1.0353,-1.7359,0.0895,5.5035
3.8327,1.026,-1.7368,0.0909,5.4796
3.8311,1.0167,-1.7377,0.0923,5.4548
3.8295,1.0075,-1.7385,0.0938,5.4293
3.828,0.9983,-1.7394,0.0952,5.4028
3.8264,0.9892,-1.7403,0.0967,5.3756
3.8248,0.9801,-1.7412,0.0983,5.3475
3.8233,0.9711,-1.7421,0.0998,5.3185
3.8217,0.9621,-1.743,0.1014,5.2886
3.8202,0.9531,-1.7439,0.103,5.2579
3.8186,0.9442,-1.7448,0.1047,5.2263
3.817,0.9354,-1.7458,0.1064,5.194
3.8155,0.9266,-1.7467,0.1081,5.1608
3.8139,0.9179,-1.7477,0.1099,5.1271
3.8123,0.9092,-1.7487,0.1117,5.0927
3.8108,0.9005,-1.7497,0.1135,5.0577
3.8092,0.892,-1.7506,0.1154,5.0224
3.8077,0.8834,-1.7517,0.1174,4.9867
3.8061,0.8749,-1.7527,0.1193,4.9508
3.8045,0.8665,-1.7537,0.1214,4.9147
3.803,0.8581,-1.7547,0.1234,4.8786
3.8014,0.8497,-1.7558,0.1255,4.8425
3.7998,0.8414,-1.7569,0.1277,4.8065
3.7983,0.8332,-1.7579,0.1299,4.7707
3.7967,0.825,-1.759,0.1322,4.735
3.7952,0.8168,-1.7601,0.1345,4.6994
3.7936,0.8087,-1.7612,0.1368,4.6641
3.792,0.8006,-1.7624,0.1392,4.629
3.7905,0.7926,-1.7635,0.1417,4.594
3.7889,0.7847,-1.7646,0.1443,4.5593
3.7873,0.7768,-1.7658,0.1469,4.5248
3.7858,0.7689,-1.767,0.1495,4.4906
3.7842,0.7611,-1.7682,0.1522,4.4566
3.7827,0.7533,-1.7694,0.155,4.4229
3.7811,0.7456,-1.7706,0.1579,4.3895
3.7795,0.7379,-1.7719,0.1608,4.3563
3.778,0.7303,-1.7731,0.1638,4.3234
3.7764,0.7228,-1.7744,0.1669,4.2909
3.7748,0.7152,-1.7757,0.17,4.2586
3.7733,0.7078,-1.777,0.1732,4.2267
3.7717,0.7004,-1.7783,0.1765,4.1951
3.7702,0.693,-1.7796,0.1799,4.1639
3.7686,0.6857,-1.781,0.1834,4.133
3.767,0.6784,-1.7823,0.187,4.1025
3.7655,0.6712,-1.7837,0.1906,4.0724
3.7639,0.664,-1.7851,0.1944,4.0426
3.7623,0.6568,-1.7866,0.1982,4.0133
3.7608,0.6498,-1.788,0.2022,3.9844
3.7592,0.6427,-1.7895,0.2062,3.9559
3.7577,0.6358,-1.7909,0.2104,3.9279
3.7561,0.6288,-1.7924,0.2146,3.9003
3.7545,0.6219,-1.794,0.219,3.8732
3.753,0.6151,-1.7955,0.2235,3.8466
3.7514,0.6083,-1.7971,0.2282,3.8205
3.7498,0.6016,-1.7987,0.2329,3.7948
3.7483,0.5949,-1.8003,0.2378,3.7697
3.7467,0.5882,-1.8019,0.2428,3.7451
3.7452,0.5817,-1.8035,0.248,3.721
3.7436,0.5751,-1.8052,0.2533,3.6975
3.742,0.5686,-1.8069,0.2588,3.6745
3.7405,0.5622,-1.8086,0.2644,3.6521
3.7389,0.5558,-1.8104,0.2702,3.6303
3.7373,0.5494,-1.8122,0.2761,3.609
3.7358,0.5431,-1.814,0.3539,3.5883
3.7342,0.5369,-1.8158,0.4882,3.5765
3.7326,0.5305,-1.8194,0.5302,3.5748
3.7309,0.5241,-1.8229,0.5053,3.5753
3.7292,0.5175,-1.8263,0.4819,3.5745
3.7275,0.5109,-1.8296,0.4599,3.5724
3.7257,0.5042,-1.8328,0.4392,3.5689
3.7238,0.4973,-1.8358,0.4198,3.564
3.7219,0.4904,-1.8388,0.4014,3.5577
3.72,0.4834,-1.8417,0.3841,3.5498
3.718,0.4762,-1.8446,0.3678,3.5404
3.7159,0.469,-1.8473,0.3524,3.5295
3.7138,0.4617,-1.85,0.3378,3.5171
3.7117,0.4543,-1.8526,0.324,3.5033
3.7095,0.4467,-1.8551,0.3109,3.4881
3.7072,0.4391,-1.8575,0.2986,3.4717
3.7049,0.4314,-1.8599,0.2868,3.4541
3.7026,0.4236,-1.8623,0.2757,3.4354
3.7002,0.4157,-1.8645,0.2651,3.4158
3.6977,0.4077,-1.8667,0.2551,3.3953
3.6953,0.3996,-1.8689,0.2456,3.374
3.6927,0.3914,-1.871,0.2365,3.3521
3.6901,0.3831,-1.873,0.2279,3.3295
3.6875,0.3747,-1.875,0.2196,3.3064
3.6848,0.3662,-1.877,0.2118,3.2827
3.6821,0.3576,-1.8788,0.2044,3.2586
3.6793,0.3489,-1.8807,0.1972,3.234
3.6765,0.3401,-1.8825,0.1904,3.2089
3.6736,0.3312,-1.8843,0.1839,3.1853
3.6706,0.3222,-1.886,0.1777,3.1656
3.6677,0.3131,-1.8877,0.1718,3.1473
3.6646,0.304,-1.8894,0.1662,3.1274
3.6616,0.2947,-1.891,0.1601,3.1059
3.6584,0.2853,-1.8925,0.1624,3.0828
3.6554,0.2761,-1.8941,0.1735,3.0597
3.6523,0.2671,-1.8958,0.1849,3.0386
3.6494,0.2584,-1.8975,0.1973,3.0192
3.6464,0.2498,-1.8993,0.2108,3.0019
3.6435,0.2414,-1.9012,0.2256,2.9866
3.6407,0.2332,-1.9032,0.2418,2.9735
3.6379,0.2252,-1.9053,0.2595,2.9626
3.6352,0.2173,-1.9075,0.2791,2.9541
3.6325,0.2097,-1.9098,0.3007,2.9479
3.6299,0.2023,-1.9122,0.3245,2.9443
3.6273,0.1951,-1.9147,0.3509,2.9432
3.6247,0.188,-1.9173,0.3803,2.9447
3.6223,0.1812,-1.9201,0.4131,2.9488
3.6198,0.1746,-1.9231,0.4496,2.9554
3.6174,0.1681,-1.9262,0.4907,2.9645
3.6151,0.1619,-1.9296,0.5368,2.976
3.6128,0.1558,-1.9331,0.5889,2.9898
3.6105,0.15,-1.9369,0.648,3.0058
3.6083,0.1443,-1.9409,0.7152,3.0237
3.6062,0.1388,-1.9451,0.7919,3.0434
3.6041,0.1336,-1.9497,0.88,3.0646
3.602,0.1285,-1.9546,0.9816,3.087
3.6,0.1236,-1.9599,1.0993,3.1105
3.5981,0.1189,-1.9656,1.2365,3.1347
3.5962,0.1144,-1.9717,1.3974,3.1594
3.5943,0.1101,-1.9784,1.5872,3.1844
3.5925,0.106,-1.9857,1.8126,3.2062
3.5908,0.1021,-1.9937,2.0825,3.2303
3.5891,0.0984,-2.0024,2.4082,3.2629
3.5874,0.0949,-2.012,2.8046,3.3013
3.5858,0.0916,-2.0226,3.3176,3.343
3.5842,0.0884,-2.0344,3.5719,3.3869
3.5826,0.0853,-2.0469,3.4771,3.4322
3.5809,0.0822,-2.0591,3.4103,3.4787
3.5792,0.0791,-2.0712,3.3436,3.5261
3.5775,0.0759,-2.0832,3.2773,3.5742
3.5757,0.0728,-2.095,3.2114,3.623
3.5738,0.0697,-2.1066,3.146,3.6725
3.5719,0.0666,-2.1181,3.0812,3.7226
3.57,0.0634,-2.1294,3.0169,3.7733
3.568,0.0603,-2.1406,2.9534,3.8245
3.5659,0.0572,-2.1516,2.8906,3.8763
3.5638,0.0541,-2.1624,2.8285,3.9287
3.5617,0.0509,-2.1731,2.7673,3.9817
3.5595,0.0478,-2.1836,2.7069,4.0352
3.5572,0.0447,-2.194,2.6475,4.0893
3.5549,0.0416,-2.2042,2.5889,4.1439
3.5526,0.0384,-2.2143,2.5313,4.1991
3.5502,0.0353,-2.2242,2.4747,4.2549
3.5477,0.0322,-2.234,2.4191,4.3112
3.5453,0.0291,-2.2436,2.3644,4.3681
3.5427,0.0259,-2.2531,2.3108,4.4257
3.5401,0.0228,-2.2625,2.2582,4.4837
3.5375,0.0197,-2.2717,2.2066,4.5424
3.5348,0.0166,-2.2807,2.1561,4.6017
3.5321,0.0134,-2.2896,2.1066,4.6616
3.5293,0.0103,-2.2984,2.0581,4.7221
3.5265,0.0072,-2.3071,2.0106,4.7832
3.5236,0.0041,-2.3156,1.9642,4.8448
3.5206,0.0009,-2.3239,1.9188,4.907
3.5177,-0.0022,-2.3322,1.8744,4.9698
3.5146,-0.0053,-2.3403,1.831,5.0331
3.5116,-0.0084,-2.3483,6.2566,5.0971
3.5084,-0.0116,-2.3562,13.5084,5.1617
3.5048,-0.0146,-2.4363,14.1052,5.227
3.5007,-0.0177,-2.5058,11.3879,5.2929
3.4961,-0.0206,-2.566,9.2315,5.3594
3.4911,-0.0236,-2.6183,7.5288,5.4265
3.4855,-0.0265,-2.664,6.1838,5.4942
3.4794,-0.0293,-2.7041,5.1177,5.5626
